Amazon_Prospecting_MediaCost,BingSearch_PaidSearchBrand_MediaCost,BingSearch_PaidSearchNonBrand_MediaCost,BingSearch_ShoppingAdsBrandNonBrand_MediaCost,CTV_Awareness_MediaCost,Criteo_Prospecting_MediaCost,Criteo_Retargeting_MediaCost,DV360_Prospecting_MediaCost,DV360_Retargeting_MediaCost,Facebook_MediaCost,GoogleSearch_NativeDiscoveryAds_MediaCost,GoogleSearch_PaidSearchBrand_MediaCost,GoogleSearch_PaidSearchNonBrand_MediaCost,GoogleSearch_ShoppingAdsBrandNonBrand_MediaCost,Influential_Awareness_MediaCost,Influential_Conversions_MediaCost,LinearTV_Awareness_MediaCost,Pinterest_Prospecting_MediaCost,Pinterest_Retargeting_MediaCost,Radio_Awareness_MediaCost,Snapchat_AddtoCartTeens_MediaCost,Snapchat_AddtoCartYoungAdults_MediaCost,Snapchat_Awareness_MediaCost,Snapchat_Conversions_MediaCost,Snapchat_ConversionsTeens_MediaCost,Snapchat_ConversionsYoungAdults_MediaCost,Snapchat_VideoViewsTeens_MediaCost,Snapchat_VideoViewsYoungAdults_MediaCost,TheTradeDesk_Prospecting_MediaCost,TheTradeDesk_Retargeting_MediaCost,Tinder_Prospecting_MediaCost,Twitch_Prospecting_MediaCost,YouTube_Prospecting_MediaCost,YouTube_Retargeting_MediaCost,Amazon_Prospecting_Impressions,BingSearch_PaidSearchBrand_Impressions,BingSearch_PaidSearchNonBrand_Impressions,BingSearch_ShoppingAdsBrandNonBrand_Impressions,CTV_Awareness_Impressions,Criteo_Prospecting_Impressions,Criteo_Retargeting_Impressions,DV360_Prospecting_Impressions,DV360_Retargeting_Impressions,Facebook_Impressions,GoogleSearch_NativeDiscoveryAds_Impressions,GoogleSearch_PaidSearchBrand_Impressions,GoogleSearch_PaidSearchNonBrand_Impressions,GoogleSearch_ShoppingAdsBrandNonBrand_Impressions,Influential_Awareness_Impressions,Influential_Conversions_Impressions,LinearTV_Awareness_Impressions,Pinterest_Prospecting_Impressions,Pinterest_Retargeting_Impressions,Radio_Awareness_Impressions,Snapchat_AddtoCartTeens_Impressions,Snapchat_AddtoCartYoungAdults_Impressions,Snapchat_Awareness_Impressions,Snapchat_Conversions_Impressions,Snapchat_ConversionsTeens_Impressions,Snapchat_ConversionsYoungAdults_Impressions,Snapchat_VideoViewsTeens_Impressions,Snapchat_VideoViewsYoungAdults_Impressions,TheTradeDesk_Prospecting_Impressions,TheTradeDesk_Retargeting_Impressions,Tinder_Prospecting_Impressions,Twitch_Prospecting_Impressions,YouTube_Prospecting_Impressions,YouTube_Retargeting_Impressions,Orders,holiday
0.0,465.75000000000017,52.39,117.29,0.0,0.0,0.0,0.0,0.0,13496.139998999999,0.0,5940.5,905.83,5294.765297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.934237,0.0,5438.0,2119.0,7949.0,0.0,0.0,0.0,0.0,0.0,875424.0,0.0,13119.0,9461.0,639657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53849.0,823,0
0.0,545.83,43.480000000000004,117.94,0.0,0.0,0.0,0.0,0.0,11869.000004,0.0,5933.230000000001,726.0699999999999,5127.867925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.3128200000001,997.922877,0.0,5083.0,2556.0,7911.0,0.0,0.0,0.0,0.0,0.0,745326.0,0.0,12704.0,10230.0,600628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190077.0,75759.0,752,0
0.0,408.81999999999994,50.3,76.68,0.0,0.0,0.0,0.0,0.0,12690.610002000001,664.81,5706.109399999999,713.79,4942.366914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.101011,998.696955,0.0,5017.0,2411.0,6311.0,0.0,0.0,0.0,0.0,0.0,905925.0,199911.0,12172.0,8722.0,622006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216767.0,76234.0,653,0
0.0,504.33000000000004,26.81,83.42,0.0,0.0,0.0,0.0,0.0,12065.029998000002,729.022769,5522.67,718.51,5985.746088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.484448,997.712303,0.0,4658.0,2168.0,5146.0,0.0,0.0,0.0,0.0,0.0,827214.0,136724.0,11999.0,8700.0,711445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189226.0,73924.0,643,0
0.0,408.52000000000004,46.34,104.35,0.0,0.0,0.0,0.0,0.0,14927.759993999998,684.356963,6258.630000000002,831.39,6697.349189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.1291990000001,1008.8252749999999,0.0,4738.0,2358.0,5836.0,0.0,0.0,0.0,0.0,0.0,1134701.0,190627.0,13622.0,9713.0,769208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263971.0,78002.0,825,0
0.0,503.46000000000004,40.05,104.07,0.0,0.0,0.0,0.0,0.0,11862.360005,0.0,6205.989999999998,623.07,6054.550326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.884037,1006.6067800000001,0.0,7593.0,2836.0,7517.0,0.0,0.0,0.0,0.0,0.0,822167.0,0.0,14325.0,8801.0,711721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298449.0,76635.0,713,0
0.0,569.71,36.5,123.41,0.0,0.0,0.0,0.0,0.0,11371.440004,0.0,6358.599999999999,746.48,5728.735747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.290682,997.1537940000001,0.0,6975.0,2686.0,6876.0,0.0,0.0,0.0,0.0,0.0,648687.0,0.0,13882.0,8636.0,733536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269289.0,74211.0,719,0
0.0,667.5500000000002,46.74,93.7,0.0,0.0,0.0,0.0,0.0,13072.629984000001,0.0,6599.979999999998,619.54,6736.292773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.7880240000001,999.140472,0.0,7015.0,2761.0,6480.0,0.0,0.0,0.0,0.0,0.0,847297.0,0.0,13916.0,8189.0,799020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280387.0,79416.0,785,0
0.0,647.95,44.160000000000004,107.44,0.0,0.0,0.0,0.0,0.0,13838.339993,0.0,6488.25,582.1600000000001,5509.900505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.033133,996.5859170000001,0.0,7395.0,2858.0,6990.0,0.0,0.0,0.0,0.0,0.0,792839.0,0.0,14208.0,7141.0,697583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84879.0,78032.0,754,0
0.0,540.1999999999999,47.019999999999996,106.25,0.0,0.0,0.0,0.0,0.0,11637.319996999999,0.0,5824.139999999999,757.0200000000001,4939.223213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.70859999999999,1002.55756,0.0,6948.0,3009.0,6452.0,0.0,0.0,0.0,0.0,0.0,727329.0,0.0,12668.0,10156.0,654037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20231.0,77632.0,715,0
